Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Noel Acciari,20242025,PIT,R,C,79,5,7,12,-25,16,0.15,5,11,0,0,0,1,0,0,75,6.7,13:46,53.7
Nicolas Hague,20242025,VGK,L,D,68,5,7,12,-2,40,0.18,5,12,0,0,0,0,0,1,74,6.8,17:00,--
Marat Khusnutdinov,20242025,"MIN,BOS",L,C,75,5,7,12,-11,20,0.16,5,10,0,1,0,1,0,0,41,12.2,12:05,43.7
Cole Smith,20242025,NSH,L,R,71,4,8,12,-15,69,0.17,4,11,0,0,0,1,0,0,69,5.8,13:36,52.9
Alexander Holtz,20242025,VGK,R,R,53,4,8,12,-3,10,0.23,3,10,1,2,0,0,0,0,69,5.8,11:35,23.1
Brayden Pachal,20242025,CGY,R,D,76,3,9,12,5,88,0.16,3,11,0,0,0,1,0,0,61,4.9,14:14,--
Kevin Labanc,20242025,CBJ,R,R,34,2,10,12,1,12,0.35,2,12,0,0,0,0,0,0,35,5.7,10:30,0
Declan Chisholm,20242025,MIN,L,D,66,2,10,12,-5,10,0.18,1,10,1,2,0,0,0,1,69,2.9,17:00,--
Henry Thrun,20242025,SJS,L,D,60,2,10,12,-23,30,0.2,2,12,0,0,0,0,0,0,52,3.9,17:31,--
Brandon Carlo,20242025,"BOS,TOR",R,D,83,1,11,12,6,37,0.14,1,12,0,0,0,0,0,0,77,1.3,18:54,--
Anthony Duclair,20242025,NYI,L,L,44,7,4,11,-15,10,0.25,4,8,3,3,0,0,0,0,60,11.7,15:03,0
Aatu Raty,20242025,VAN,L,C,33,7,4,11,-1,14,0.33,7,10,0,1,0,0,0,0,34,20.6,10:39,57.4
Alexandre Texier,20242025,STL,L,L,31,6,5,11,-3,10,0.35,5,9,1,2,0,0,0,1,50,12,12:29,0
Jakub Lauko,20242025,"MIN,BOS",L,C,56,5,6,11,-13,47,0.2,4,10,0,0,1,1,0,2,42,11.9,10:43,10
Collin Graf,20242025,SJS,R,R,33,5,6,11,-4,8,0.33,3,6,1,4,1,1,0,1,40,12.5,15:52,33.3
William Carrier,20242025,CAR,L,L,43,4,7,11,0,16,0.26,4,11,0,0,0,0,0,1,48,8.3,11:44,50
Sean Durzi,20242025,UTA,R,D,30,4,7,11,4,19,0.37,3,9,1,2,0,0,0,0,39,10.3,20:39,--
Kyle MacLean,20242025,NYI,L,C,81,4,7,11,-15,14,0.14,4,11,0,0,0,0,0,0,61,6.6,9:58,48.2
Elmer Soderblom,20242025,DET,L,L,26,4,7,11,2,6,0.42,4,11,0,0,0,0,0,1,38,10.5,13:22,26.7
John Beecher,20242025,BOS,L,C,78,3,8,11,-9,26,0.14,3,11,0,0,0,0,0,0,44,6.8,11:17,52
Derek Forbort,20242025,VAN,L,D,54,2,9,11,-7,45,0.2,2,10,0,1,0,0,0,1,39,5.1,17:06,--
Zac Jones,20242025,NYR,L,D,46,1,10,11,0,24,0.24,1,10,0,1,0,0,0,0,51,2,17:15,--
Matthew Poitras,20242025,BOS,R,C,33,1,10,11,-5,8,0.33,1,11,0,0,0,0,0,1,29,3.5,13:05,45.7
Brett Berard,20242025,NYR,L,L,35,6,4,10,-6,8,0.29,6,10,0,0,0,0,0,1,59,10.2,10:43,42.9
Adam Klapka,20242025,CGY,R,R,31,6,4,10,-3,29,0.32,6,10,0,0,0,0,0,0,44,13.6,9:39,35.3
Vincent Hinostroza,20242025,"NSH,MIN",R,C,38,5,5,10,2,10,0.26,2,7,3,3,0,0,0,1,48,10.4,13:01,41.2
Kevin Rooney,20242025,CGY,L,C,70,5,5,10,-6,14,0.14,5,9,0,0,0,1,0,0,54,9.3,9:25,47.2
Jordan Oesterle,20242025,"BOS,NSH",L,D,37,4,6,10,0,4,0.27,4,10,0,0,0,0,0,0,38,10.5,17:09,--
Jesse Puljujarvi,20242025,"PIT,FLA",R,R,31,4,6,10,-1,25,0.32,4,9,0,1,0,0,0,0,50,8,11:47,0
Beck Malenstyn,20242025,BUF,L,L,76,4,6,10,-16,29,0.13,4,10,0,0,0,0,0,0,67,6,10:32,55.9
Nathan Bastian,20242025,NJD,R,R,59,4,6,10,-4,31,0.17,2,8,1,1,1,1,0,1,44,9.1,10:56,32
Connor Dewar,20242025,"TOR,PIT",L,C,48,4,6,10,-3,14,0.21,4,9,0,0,0,1,0,0,55,7.3,11:33,42.7
Tyler Kleven,20242025,OTT,L,D,79,4,6,10,-11,27,0.13,4,9,0,1,0,0,0,1,78,5.1,14:28,--
Jack Thompson,20242025,SJS,R,D,31,4,6,10,-9,10,0.32,4,7,0,3,0,0,0,0,41,9.8,15:47,--
Dennis Cholowski,20242025,"NYI,NJD",L,D,39,3,7,10,-3,10,0.26,3,8,0,2,0,0,0,0,30,10,13:04,--
Henri Jokiharju,20242025,"BUF,BOS",R,D,60,3,7,10,13,14,0.17,3,10,0,0,0,0,0,2,59,5.1,17:50,--
TJ Brodie,20242025,CHI,L,D,54,2,8,10,-18,18,0.19,2,10,0,0,0,0,0,0,23,8.7,15:38,--
Mathew Dumba,20242025,DAL,R,D,63,1,9,10,-5,60,0.16,1,9,0,1,0,0,0,0,57,1.8,15:18,--
Simon Benoit,20242025,TOR,L,D,78,1,9,10,12,59,0.13,1,9,0,0,0,1,0,0,48,2.1,16:33,--
Kaedan Korczak,20242025,VGK,R,D,40,0,10,10,15,2,0.25,0,10,0,0,0,0,0,0,34,0,15:04,--
Marc Gatcomb,20242025,NYI,R,C,39,8,1,9,-4,11,0.23,8,9,0,0,0,0,0,1,41,19.5,9:47,41.7
Adam Edstrom,20242025,NYR,L,C,51,5,4,9,-5,27,0.18,5,9,0,0,0,0,0,2,40,12.5,9:16,0
Cam Atkinson,20242025,TBL,R,R,39,4,5,9,-4,11,0.23,3,8,1,1,0,0,0,0,47,8.5,9:00,33.3
Tyler Motte,20242025,DET,L,C,55,4,5,9,-11,6,0.16,4,9,0,0,0,0,0,0,66,6.1,11:19,41.4
Tyson Jost,20242025,CAR,L,C,39,4,5,9,2,33,0.23,4,9,0,0,0,0,0,0,44,9.1,10:22,45.2
Lian Bichsel,20242025,DAL,L,D,38,4,5,9,2,41,0.24,4,9,0,0,0,0,0,1,39,10.3,14:53,--
Scott Mayfield,20242025,NYI,R,D,66,3,6,9,18,27,0.14,2,8,0,0,1,1,0,0,51,5.9,17:00,--
Carl Grundstrom,20242025,SJS,L,R,56,3,6,9,-21,24,0.16,3,9,0,0,0,0,0,0,88,3.4,9:36,42.9
Jan Rutta,20242025,SJS,R,D,54,3,6,9,-3,28,0.17,3,9,0,0,0,0,0,0,55,5.5,17:15,--
Albert Johansson,20242025,DET,L,D,61,3,6,9,-11,30,0.15,3,9,0,0,0,0,0,2,48,6.3,16:22,--
Joel Hanley,20242025,CGY,L,D,53,2,7,9,12,21,0.17,2,9,0,0,0,0,0,1,42,4.8,18:35,--
Jonas Siegenthaler,20242025,NJD,L,D,55,2,7,9,9,44,0.16,2,9,0,0,0,0,0,0,52,3.9,19:36,--
Scott Perunovich,20242025,"STL,NYI",L,D,35,2,7,9,-3,10,0.26,2,9,0,0,0,0,0,0,18,11.1,16:00,--
Marc Del Gaizo,20242025,NSH,L,D,46,2,7,9,-3,21,0.2,2,9,0,0,0,0,0,0,76,2.6,16:45,--
Shakir Mukhamadullin,20242025,SJS,L,D,30,2,7,9,-7,8,0.3,2,7,0,2,0,0,0,0,30,6.7,18:04,--
Daniil Miromanov,20242025,CGY,R,D,44,2,7,9,2,12,0.2,2,9,0,0,0,0,0,1,52,3.9,17:41,--
Tomas Nosek,20242025,FLA,L,L,59,1,8,9,4,10,0.15,0,7,1,1,0,1,0,0,47,2.1,9:49,51.8
Josh Mahura,20242025,SEA,L,D,64,0,9,9,5,20,0.14,0,9,0,0,0,0,0,0,58,0,13:45,--
Barclay Goodrow,20242025,SJS,L,C,77,5,3,8,-37,75,0.1,4,7,0,0,1,1,0,0,73,6.9,13:47,42.9
Jimmy Vesey,20242025,"NYR,COL",L,L,43,5,3,8,-4,0,0.19,5,8,0,0,0,0,0,0,36,13.9,10:39,20
Rasmus Kupari,20242025,WPG,R,C,59,5,3,8,-1,16,0.14,5,8,0,0,0,0,0,1,53,9.4,10:16,52.5
Ivan Ivan,20242025,COL,L,C,40,5,3,8,-9,8,0.2,3,5,2,3,0,0,0,0,34,14.7,10:02,40.9
Brock McGinn,20242025,ANA,L,L,26,4,4,8,1,0,0.31,4,8,0,0,0,0,0,0,30,13.3,11:43,12.5
Miles Wood,20242025,COL,L,L,37,4,4,8,-5,48,0.22,4,8,0,0,0,0,0,1,60,6.7,11:21,27.3
Wyatt Kaiser,20242025,CHI,L,D,57,4,4,8,0,14,0.14,4,8,0,0,0,0,0,0,66,6.1,18:07,--
Seamus Casey,20242025,NJD,R,D,14,4,4,8,3,0,0.57,2,5,2,3,0,0,0,1,12,33.3,12:39,--
Jordan Greenway,20242025,BUF,L,L,34,3,5,8,-4,45,0.24,3,8,0,0,0,0,0,0,36,8.3,15:04,20.6
Erik Brannstrom,20242025,VAN,L,D,28,3,5,8,-4,17,0.29,3,7,0,1,0,0,0,1,33,9.1,14:56,--
Matt Rempe,20242025,NYR,R,C,42,3,5,8,7,67,0.19,3,8,0,0,0,0,0,0,30,10,8:30,15.4
Justin Holl,20242025,DET,R,D,73,2,6,8,-7,16,0.11,2,8,0,0,0,0,0,0,41,4.9,14:48,--
Justin Kirkland,20242025,CGY,L,C,21,2,6,8,6,11,0.38,2,8,0,0,0,0,0,0,9,22.2,9:42,42.9
Jacob Bernard-Docker,20242025,"OTT,BUF",R,D,40,2,6,8,5,17,0.2,2,8,0,0,0,0,0,0,32,6.3,13:37,--
Luca Del Bel Belluz,20242025,CBJ,L,C,15,2,6,8,2,0,0.53,2,7,0,1,0,0,0,0,18,11.1,13:45,43.1
Victor Mancini,20242025,"NYR,VAN",R,D,31,2,6,8,-9,10,0.26,1,7,1,1,0,0,0,0,27,7.4,15:18,--
Jeff Petry,20242025,DET,R,D,44,1,7,8,-2,16,0.18,1,7,0,1,0,0,0,1,33,3,18:54,--
Jacob Moverare,20242025,LAK,L,D,49,1,7,8,2,10,0.16,1,8,0,0,0,0,0,0,30,3.3,11:52,--
Ty Dellandrea,20242025,SJS,R,C,68,1,7,8,-31,59,0.12,1,7,0,0,0,1,0,0,50,2,11:48,49.9
Jake Christiansen,20242025,CBJ,L,D,68,1,7,8,6,11,0.12,1,8,0,0,0,0,0,0,58,1.7,12:32,--
Cole Schwindt,20242025,VGK,R,R,42,1,7,8,3,0,0.19,1,8,0,0,0,0,0,0,32,3.1,9:15,50.5
Nolan Allan,20242025,CHI,L,D,43,1,7,8,-13,16,0.19,1,8,0,0,0,0,0,0,17,5.9,15:08,--
Calvin de Haan,20242025,"COL,NYR",L,D,47,0,8,8,-4,12,0.17,0,8,0,0,0,0,0,0,51,0,14:58,--
Hendrix Lapierre,20242025,WSH,L,C,27,0,8,8,-3,4,0.3,0,8,0,0,0,0,0,0,18,0,9:48,39.6
Luke Glendening,20242025,TBL,R,C,77,4,3,7,-9,10,0.09,3,5,0,0,1,2,0,0,51,7.8,10:47,57
Anthony Mantha,20242025,CGY,L,R,13,4,3,7,6,11,0.54,2,5,1,1,1,1,0,1,15,26.7,13:54,33.3
Sam Lafferty,20242025,BUF,R,C,60,4,3,7,-15,28,0.12,4,7,0,0,0,0,0,0,50,8,9:53,50.6
Noah Gregor,20242025,"OTT,SJS",L,L,52,4,3,7,-21,28,0.13,3,6,0,0,1,1,0,2,60,6.7,11:06,57.1
Mikael Pyyhtia,20242025,CBJ,L,L,47,4,3,7,-11,6,0.15,3,6,0,0,1,1,0,0,32,12.5,12:06,66.7
Samuel Helenius,20242025,LAK,L,C,50,4,3,7,1,25,0.14,4,7,0,0,0,0,0,1,29,13.8,8:39,46.4
Ethen Frank,20242025,WSH,R,C,24,4,3,7,3,6,0.29,4,6,0,1,0,0,0,1,23,17.4,10:49,0
Hampus Lindholm,20242025,BOS,L,D,17,3,4,7,-4,4,0.41,3,6,0,1,0,0,0,1,35,8.6,20:51,--
Troy Stecher,20242025,EDM,R,D,66,3,4,7,-2,27,0.11,3,7,0,0,0,0,0,0,55,5.5,13:52,--
Tyler Tucker,20242025,STL,L,D,38,3,4,7,4,55,0.18,3,6,0,0,0,1,0,0,33,9.1,14:35,--
Max Sasson,20242025,VAN,L,C,29,3,4,7,1,0,0.24,3,7,0,0,0,0,0,0,31,9.7,10:20,42.7
Justin Dowling,20242025,NJD,L,C,52,2,5,7,-6,6,0.13,2,7,0,0,0,0,0,0,34,5.9,10:13,48.3
Daniel Sprong,20242025,"VAN,SEA,NJD",R,R,30,2,5,7,-1,2,0.23,1,5,1,2,0,0,0,1,55,3.6,12:12,0
Jake Bean,20242025,CGY,L,D,64,2,5,7,0,8,0.11,2,7,0,0,0,0,0,0,71,2.8,15:05,--
Vladislav Kolyachonok,20242025,"UTA,PIT",L,D,35,2,5,7,-12,10,0.2,2,7,0,0,0,0,0,1,20,10,13:01,--
Colton Dach,20242025,CHI,L,C,25,2,5,7,-3,17,0.28,2,7,0,0,0,0,0,0,27,7.4,12:08,50
Luke Schenn,20242025,"NSH,WPG",R,D,76,1,6,7,-4,45,0.09,1,7,0,0,0,0,0,0,77,1.3,15:57,--
Travis Hamonic,20242025,OTT,R,D,59,1,6,7,-16,19,0.12,1,7,0,0,0,0,0,0,72,1.4,17:04,--
Calle Jarnkrok,20242025,TOR,R,C,19,1,6,7,1,4,0.37,0,6,1,1,0,0,0,0,9,11.1,13:14,22.2
Christian Fischer,20242025,"DET,CBJ",R,R,46,1,6,7,-6,11,0.15,1,7,0,0,0,0,0,0,31,3.2,11:07,56.3
Parker Wotherspoon,20242025,BOS,L,D,55,1,6,7,-10,10,0.13,1,7,0,0,0,0,0,0,44,2.3,18:02,--
Klim Kostin,20242025,SJS,L,C,35,1,6,7,-6,27,0.2,1,6,0,1,0,0,0,0,28,3.6,10:41,30.8
Emil Andrae,20242025,PHI,L,D,42,1,6,7,-5,16,0.17,1,4,0,3,0,0,0,0,52,1.9,17:21,--
Haydn Fleury,20242025,WPG,L,D,39,0,7,7,-12,6,0.18,0,7,0,0,0,0,0,0,38,0,15:56,--
Jacob Bryson,20242025,BUF,L,D,48,0,7,7,-9,10,0.15,0,7,0,0,0,0,0,0,20,0,14:24,--
Ville Koivunen,20242025,PIT,L,R,8,0,7,7,0,4,0.88,0,4,0,3,0,0,0,0,15,0,18:07,100
Nikita Nesterenko,20242025,ANA,L,C,20,4,2,6,-4,2,0.3,4,6,0,0,0,0,0,0,20,20,10:19,0
Oliver Wahlstrom,20242025,"NYI,BOS",R,R,43,3,3,6,-6,37,0.14,3,5,0,1,0,0,0,1,54,5.6,10:14,75
Linus Karlsson,20242025,VAN,R,C,23,3,3,6,5,6,0.26,2,4,1,2,0,0,0,1,28,10.7,10:56,20
Jonathan Lekkerimäki,20242025,VAN,R,R,24,3,3,6,-6,2,0.25,3,4,0,2,0,0,0,0,30,10,12:30,0
Jani Nyman,20242025,SEA,L,R,12,3,3,6,-3,4,0.5,1,3,2,3,0,0,0,0,22,13.6,13:59,100
Jon Merrill,20242025,MIN,L,D,70,2,4,6,-8,20,0.09,2,6,0,0,0,0,0,0,47,4.3,14:06,--
Zemgus Girgensons,20242025,TBL,L,C,82,2,4,6,-7,47,0.07,2,6,0,0,0,0,0,1,83,2.4,11:40,47.3
Matthew Highmore,20242025,OTT,L,C,41,2,4,6,-5,10,0.15,2,6,0,0,0,0,0,1,33,6.1,11:10,26.3
Anthony Richard,20242025,PHI,L,C,15,2,4,6,-3,0,0.4,2,5,0,1,0,0,0,0,19,10.5,12:22,0
Jansen Harkins,20242025,ANA,L,C,62,2,4,6,-13,21,0.1,2,6,0,0,0,0,0,1,49,4.1,10:56,53.4
David Gustafsson,20242025,WPG,L,C,36,2,4,6,10,7,0.17,2,6,0,0,0,0,0,0,30,6.7,8:59,50
Landon Slaggert,20242025,CHI,L,L,33,2,4,6,-7,23,0.18,2,6,0,0,0,0,0,1,34,5.9,12:18,0
Ethan Del Mastro,20242025,CHI,L,D,24,2,4,6,-3,6,0.25,2,6,0,0,0,0,0,0,19,10.5,18:19,--
Brendan Smith,20242025,DAL,L,D,32,1,5,6,-9,33,0.19,0,5,0,0,1,1,0,0,27,3.7,13:13,--
Phillip Di Giuseppe,20242025,VAN,L,L,20,1,5,6,-2,4,0.3,1,6,0,0,0,0,0,0,23,4.4,11:34,20
Derek Ryan,20242025,EDM,R,C,36,1,5,6,-4,12,0.17,1,6,0,0,0,0,0,0,20,5,9:21,60.4
Nick DeSimone,20242025,UTA,R,D,20,1,5,6,4,0,0.3,1,6,0,0,0,0,0,0,24,4.2,15:35,--
Nils Aman,20242025,VAN,L,C,19,1,5,6,-2,2,0.32,1,6,0,0,0,0,0,0,8,12.5,10:29,37.8
Scott Morrow,20242025,CAR,R,D,14,1,5,6,4,0,0.43,1,6,0,0,0,0,0,0,23,4.4,15:48,--
Arber Xhekaj,20242025,MTL,L,D,70,1,5,6,-13,118,0.09,1,6,0,0,0,0,0,0,69,1.5,14:37,--
Jack Johnson,20242025,CBJ,L,D,41,0,6,6,-13,2,0.15,0,6,0,0,0,0,0,0,23,0,12:52,--
Dennis Gilbert,20242025,"BUF,OTT",L,D,29,0,6,6,-3,50,0.21,0,6,0,0,0,0,0,0,9,0,10:29,--
Artyom Levshunov,20242025,CHI,R,D,18,0,6,6,-13,8,0.33,0,4,0,2,0,0,0,0,21,0,20:19,--
Vinni Lettieri,20242025,BOS,R,C,26,3,2,5,-9,6,0.19,3,5,0,0,0,0,0,0,52,5.8,13:31,50
Tyson Kozak,20242025,BUF,L,C,21,3,2,5,-2,2,0.24,2,4,1,1,0,0,0,0,11,27.3,10:29,46.2
Fraser Minten,20242025,"TOR,BOS",L,C,21,3,2,5,-5,2,0.24,3,4,0,1,0,0,0,1,24,12.5,13:01,45.8
Erik Johnson,20242025,"PHI,COL",R,D,36,2,3,5,1,15,0.14,2,4,0,0,0,1,0,0,37,5.4,14:35,--
Nick Leddy,20242025,STL,L,D,31,2,3,5,6,2,0.16,2,5,0,0,0,0,0,0,21,9.5,18:40,--
Curtis Lazar,20242025,NJD,R,C,48,2,3,5,-6,14,0.1,2,5,0,0,0,0,0,0,27,7.4,10:34,51.3
Ryan Shea,20242025,PIT,L,D,39,2,3,5,-9,14,0.13,2,4,0,1,0,0,0,0,19,10.5,16:44,--
Rodrigo Abols,20242025,PHI,L,C,22,2,3,5,-10,4,0.23,2,5,0,0,0,0,0,0,25,8,9:11,58.4
Philippe Myers,20242025,TOR,R,D,36,2,3,5,0,15,0.14,2,5,0,0,0,0,0,0,46,4.4,16:14,--
Juuso Välimäki,20242025,UTA,L,D,43,2,3,5,-5,14,0.12,2,5,0,0,0,0,0,0,40,5,16:33,--
Liam Ohgren,20242025,MIN,L,L,24,2,3,5,-6,2,0.21,2,4,0,1,0,0,0,1,32,6.3,11:06,--
Devin Shore,20242025,MIN,L,C,55,1,4,5,-8,6,0.09,1,5,0,0,0,0,0,0,41,2.4,8:39,49.5
Oliver Kylington,20242025,"COL,ANA",L,D,19,1,4,5,-2,8,0.26,1,5,0,0,0,0,0,0,6,16.7,12:18,--
Jordan Harris,20242025,CBJ,L,D,33,1,4,5,-1,6,0.15,1,5,0,0,0,0,0,0,15,6.7,11:23,--
Adam Wilsby,20242025,NSH,L,D,23,1,4,5,3,6,0.22,1,5,0,0,0,0,0,0,33,3,18:06,--
Isaiah George,20242025,NYI,L,D,33,1,4,5,-3,6,0.15,1,5,0,0,0,0,0,1,26,3.9,15:39,--
Olle Lycksell,20242025,PHI,L,R,19,0,5,5,-3,2,0.26,0,4,0,1,0,0,0,0,10,0,11:53,50
Nils Lundkvist,20242025,DAL,R,D,39,0,5,5,4,20,0.13,0,5,0,0,0,0,0,0,52,0,15:01,--
Sam Rinzel,20242025,CHI,R,D,9,0,5,5,1,0,0.56,0,2,0,3,0,0,0,0,22,0,23:22,--
Jonah Gadjovich,20242025,FLA,L,L,42,4,0,4,-7,60,0.1,4,4,0,0,0,0,0,2,43,9.3,8:27,60
Arthur Kaliyev,20242025,NYR,L,R,14,3,1,4,2,2,0.29,3,4,0,0,0,0,0,0,21,14.3,11:13,--
Louis Crevier,20242025,CHI,R,D,32,3,1,4,-6,10,0.13,3,4,0,0,0,0,0,0,28,10.7,17:17,--
Hudson Fasching,20242025,NYI,R,R,43,2,2,4,-4,6,0.09,2,4,0,0,0,0,0,0,51,3.9,11:05,20
Kieffer Bellows,20242025,NSH,L,L,19,2,2,4,-6,6,0.21,2,2,0,2,0,0,0,1,28,7.1,10:40,66.7
Logan Mailloux,20242025,MTL,R,D,7,2,2,4,-5,6,0.57,2,4,0,0,0,0,0,0,10,20,16:12,--
Simon Nemec,20242025,NJD,R,D,27,2,2,4,-10,14,0.15,2,2,0,2,0,0,0,1,26,7.7,14:59,--
John Klingberg,20242025,EDM,R,D,11,1,3,4,0,8,0.36,1,4,0,0,0,0,0,0,19,5.3,17:15,--
Ryan Graves,20242025,PIT,L,D,61,1,3,4,-15,29,0.07,1,4,0,0,0,0,0,0,39,2.6,14:59,--
Ross Johnston,20242025,ANA,L,L,43,1,3,4,-2,72,0.09,1,4,0,0,0,0,0,1,9,11.1,8:41,0
Lucas Carlsson,20242025,SJS,L,D,13,1,3,4,-2,14,0.31,1,4,0,0,0,0,0,1,15,6.7,19:22,--
Zack Ostapchuk,20242025,"OTT,SJS",L,C,56,1,3,4,-8,45,0.07,1,4,0,0,0,0,0,0,26,3.9,9:25,48.6
Ivan Miroshnichenko,20242025,WSH,R,L,18,1,3,4,1,0,0.22,1,3,0,1,0,0,0,0,14,7.1,9:21,--
Jimmy Snuggerud,20242025,STL,R,R,7,1,3,4,0,0,0.57,0,3,1,1,0,0,0,0,10,10,15:28,--
Nikolas Matinpalo,20242025,OTT,R,D,41,1,3,4,-2,20,0.1,1,4,0,0,0,0,0,0,43,2.3,12:37,--
Erik Gudbranson,20242025,CBJ,R,D,16,0,4,4,1,6,0.25,0,4,0,0,0,0,0,0,12,0,17:46,--
Rory Kerins,20242025,CGY,L,C,5,0,4,4,3,0,0.8,0,3,0,1,0,0,0,0,3,0,12:14,33.3
Oliver Moore,20242025,CHI,L,C,9,0,4,4,-2,4,0.44,0,4,0,0,0,0,0,0,10,0,13:35,40.7
Juha Jaaska,20242025,CAR,L,L,18,0,4,4,0,9,0.22,0,3,0,0,0,1,0,0,11,0,8:56,51.6
Austin Watson,20242025,DET,R,L,13,3,0,3,1,17,0.23,3,3,0,0,0,0,0,0,13,23.1,7:51,66.7
Nicolas Deslauriers,20242025,PHI,L,L,31,2,1,3,-9,15,0.1,2,3,0,0,0,0,0,0,25,8,7:38,33.3
Zack MacEwen,20242025,OTT,R,R,21,2,1,3,0,21,0.14,2,3,0,0,0,0,0,0,26,7.7,7:46,42.9
Kailer Yamamoto,20242025,UTA,R,R,12,2,1,3,-1,2,0.25,1,1,1,2,0,0,0,0,13,15.4,12:07,100
Valtteri Puustinen,20242025,PIT,R,R,13,2,1,3,-4,4,0.23,0,1,2,2,0,0,0,0,8,25,9:54,--
Walker Duehr,20242025,"CGY,SJS",R,R,24,2,1,3,-11,0,0.13,2,3,0,0,0,0,0,0,15,13.3,8:48,11.1
Nikita Chibrikov,20242025,WPG,L,R,4,2,1,3,1,0,0.75,2,2,0,1,0,0,0,0,6,33.3,11:24,--
Marc McLaughlin,20242025,"BOS,NJD",R,C,14,2,1,3,-2,0,0.21,2,3,0,0,0,0,0,0,13,15.4,9:12,43.8
Cam Lund,20242025,SJS,R,C,11,2,1,3,-10,4,0.27,1,2,1,1,0,0,0,0,12,16.7,11:30,66.7
Marc-Edouard Vlasic,20242025,SJS,L,D,27,1,2,3,-10,2,0.11,1,2,0,0,0,1,0,0,20,5,14:38,--
Tyson Barrie,20242025,CGY,R,D,13,1,2,3,-7,4,0.23,1,1,0,2,0,0,0,0,19,5.3,15:48,--
Matt Nieto,20242025,PIT,L,L,32,1,2,3,-8,4,0.09,1,2,0,1,0,0,0,0,31,3.2,12:15,40
Andreas Englund,20242025,"LAK,NSH",L,D,35,1,2,3,-9,48,0.09,1,3,0,0,0,0,0,0,17,5.9,13:16,--
Mitchell Stephens,20242025,SEA,R,C,28,1,2,3,-8,6,0.11,1,3,0,0,0,0,0,0,19,5.3,9:14,53.6
Akil Thomas,20242025,LAK,R,C,25,1,2,3,-4,7,0.12,1,3,0,0,0,0,0,0,20,5,9:55,43.9
Andre Lee,20242025,LAK,L,L,19,1,2,3,-5,11,0.16,1,3,0,0,0,0,0,1,18,5.6,9:10,--
Fabian Lysell,20242025,BOS,R,R,12,1,2,3,-4,6,0.25,0,2,1,1,0,0,0,1,21,4.8,13:27,--
David Jiricek,20242025,"CBJ,MIN",R,D,12,1,2,3,0,6,0.25,1,3,0,0,0,0,0,0,9,11.1,12:07,--
Maveric Lamoureux,20242025,UTA,R,D,15,1,2,3,3,42,0.2,1,3,0,0,0,0,0,0,17,5.9,16:07,--
Rutger McGroarty,20242025,PIT,L,R,8,1,2,3,0,0,0.38,1,3,0,0,0,0,0,0,11,9.1,14:37,0
